Chr	Start	End	MeanCovT	MeanCovN
1	200000	200150	170.028485908781	191.393935482483
1	400000	400150	202.775710381323	212.942324311007
1	600000	600150	204.429163189767	180.696819804143
1	800000	800150	266.746173516971	209.537757455837
1	1000000	1000150	228.013538598611	200.820120249409
1	1200000	1200150	151.539025104428	178.38689800119
1	1400000	1400150	161.993878050141	211.935742862988
1	1600000	1600150	272.960898260706	204.176752304193
1	1800000	1800150	191.687560857452	185.788569948636
1	2000000	2000150	221.069391587958	187.806119804736
1	2200000	2200150	250.23259692082	192.496873205528
1	2400000	2400150	238.92709844112	212.773078947794
1	2600000	2600150	230.110745125311	190.854212420527
1	2800000	2800150	212.543859577661	218.290640902705
1	3000000	3000150	218.993225137312	213.208037475124
1	3200000	3200150	207.572661875552	178.644243476447
1	3400000	3400150	169.798613045478	199.630887166131
1	3600000	3600150	212.302640843161	206.758101645391
1	3800000	3800150	152.451713998838	179.242893576156
1	4000000	4000150	198.432937702909	204.196051647887
1	4200000	4200150	195.072012552268	183.147228055168
1	4400000	4400150	168.543186053701	215.247467136942
1	4600000	4600150	201.595630144658	189.481111068744
1	4800000	4800150	197.712824642309	178.58867343748
1	5000000	5000150	213.184044387956	202.415271964855
1	5200000	5200150	207.091096582527	208.827663643751
1	5400000	5400150	161.21685988227	197.594804037362
1	5600000	5600150	170.794559387252	216.206250933465
1	5800000	5800150	180.544310074475	179.538396559656
1	6000000	6000150	212.852109696154	181.110613315832
1	6200000	6200150	175.890584513686	203.375876764767
1	6400000	6400150	163.757523966256	177.485495887231
1	6600000	6600150	181.385499907676	203.081018454395
1	6800000	6800150	193.82639947604	223.30894531915
1	7000000	7000150	174.516733422659	200.497267232276
1	7200000	7200150	198.787406263921	210.046846023761
1	7400000	7400150	193.795331007883	176.017470029183
1	7600000	7600150	230.787552919459	214.178451732732
1	7800000	7800150	201.395219737209	204.219830909278
1	8000000	8000150	180.465073384904	190.864640928339
1	8200000	8200150	224.675069618742	224.810412223451
1	8400000	8400150	170.274624390491	201.552332914434
1	8600000	8600150	191.930951820823	180.495414312463
1	8800000	8800150	215.724253290953	206.660578399897
1	9000000	9000150	266.353515167431	214.896459365264
1	9200000	9200150	237.466476959045	210.649489029311
1	9400000	9400150	239.822222028634	210.141748492606
1	9600000	9600150	188.832434935756	203.141637367662
1	9800000	9800150	204.928673466952	187.943630700465
1	10000000	10000150	216.454104329198	200.346871768124
1	10200000	10200150	235.616860331372	211.339964543004
